AUN,School Number,County,District Name,School Name,Subject,Group,Grade,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
103024603,000005190,ALLEGHENY,HAMPTON TOWNSHIP SD,HAMPTON HS,Biology,All Students,11,247,62.8,27.9,8.5,0.8
103024603,000005190,ALLEGHENY,HAMPTON TOWNSHIP SD,HAMPTON HS,Biology,Historically Underperforming,11,41,36.6,31.7,26.8,4.9
103024603,000005190,ALLEGHENY,HAMPTON TOWNSHIP SD,HAMPTON HS,Literature,All Students,11,247,34.4,60.7,3.6,1.2
103024603,000005190,ALLEGHENY,HAMPTON TOWNSHIP SD,HAMPTON HS,Literature,Historically Underperforming,11,41,17.1,63.4,14.6,4.9
103024753,000005153,ALLEGHENY,HIGHLANDS SD,HIGHLANDS HS,Algebra I,All Students,11,163,3.7,46.0,39.3,11.0
103024753,000005153,ALLEGHENY,HIGHLANDS SD,HIGHLANDS HS,Algebra I,Historically Underperforming,11,110,2.7,40.9,40.0,16.4
103024753,000005153,ALLEGHENY,HIGHLANDS SD,HIGHLANDS HS,Biology,All Students,11,159,3.8,35.8,39.0,21.4
103024753,000005153,ALLEGHENY,HIGHLANDS SD,HIGHLANDS HS,Biology,Historically Underperforming,11,106,2.8,30.2,40.6,26.4
103024753,000005153,ALLEGHENY,HIGHLANDS SD,HIGHLANDS HS,Literature,All Students,11,163,0.0,55.2,35.0,9.8
103024753,000005153,ALLEGHENY,HIGHLANDS SD,HIGHLANDS HS,Literature,Historically Underperforming,11,110,0.0,48.2,38.2,13.6
102023217,000008308,ALLEGHENY,HILL HOUSE PASSPORT ACADEMY CS,HILL HOUSE PASSPORT ACADEMY CS,Algebra I,All Students,11,31,0.0,3.2,38.7,58.1
102023217,000008308,ALLEGHENY,HILL HOUSE PASSPORT ACADEMY CS,HILL HOUSE PASSPORT ACADEMY CS,Algebra I,Historically Underperforming,11,20,0.0,5.0,35.0,60.0
102023217,000008308,ALLEGHENY,HILL HOUSE PASSPORT ACADEMY CS,HILL HOUSE PASSPORT ACADEMY CS,Biology,All Students,11,28,0.0,3.6,14.3,82.1
102023217,000008308,ALLEGHENY,HILL HOUSE PASSPORT ACADEMY CS,HILL HOUSE PASSPORT ACADEMY CS,Biology,Historically Underperforming,11,16,0.0,6.3,18.8,75.0
102023217,000008308,ALLEGHENY,HILL HOUSE PASSPORT ACADEMY CS,HILL HOUSE PASSPORT ACADEMY CS,Literature,All Students,11,30,0.0,10.0,36.7,53.3
102023217,000008308,ALLEGHENY,HILL HOUSE PASSPORT ACADEMY CS,HILL HOUSE PASSPORT ACADEMY CS,Literature,Historically Underperforming,11,19,0.0,5.3,42.1,52.6
103025002,000005112,ALLEGHENY,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Algebra I,All Students,11,149,16.1,62.4,16.8,4.7
103025002,000005112,ALLEGHENY,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Algebra I,Historically Underperforming,11,57,1.8,50.9,36.8,10.5
103025002,000005112,ALLEGHENY,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Biology,All Students,11,150,18.0,45.3,22.7,14.0
103025002,000005112,ALLEGHENY,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Biology,Historically Underperforming,11,58,8.6,31.0,29.3,31.0
